"Regiao - Sigla","Estado - Sigla","Municipio","Revenda","CNPJ da Revenda","Nome da Rua","Numero Rua","Complemento","Bairro","Cep","Produto","Data da Coleta","Valor de Venda","Valor de Compra","Unidade de Medida","Bandeira","Coluna1"
"NE","CE","ITAPIPOCA","SAO PEDRO COM VAREJ COMBUSTIVEIS LTDA."," 01.632.155/0002-94","AVENIDA MONSENHOR TABOSA","2771","","JULHO","62505-650","GASOLINA","1/3/2022","7.12","","R$ / litro","ALESAT",""
"NE","CE","ITAPIPOCA","SAO PEDRO COM VAREJ COMBUSTIVEIS LTDA."," 01.632.155/0002-94","AVENIDA MONSENHOR TABOSA","2771","","JULHO","62505-650","ETANOL","1/3/2022","5.96","","R$ / litro","ALESAT",""
"NE","CE","ITAPIPOCA","SAO PEDRO COM VAREJ COMBUSTIVEIS LTDA."," 01.632.155/0002-94","AVENIDA MONSENHOR TABOSA","2771","","JULHO","62505-650","GASOLINA ADITIVADA","1/3/2022","7.13","","R$ / litro","ALESAT",""
"NE","CE","ITAPIPOCA","SAO PEDRO COM VAREJ COMBUSTIVEIS LTDA."," 01.632.155/0002-94","AVENIDA MONSENHOR TABOSA","2771","","JULHO","62505-650","DIESEL S10","1/3/2022","6.07","","R$ / litro","ALESAT",""
"NE","CE","ITAPIPOCA","COMERCIAL ITAPIPOQUENSE DE COMBUSTIVEIS LTDA"," 23.463.268/0005-99","AVENIDA ANASTACIO BRAGA","2000","","FAZENDINHA","62500-000","ETANOL","1/3/2022","5.97","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","ITAPIPOCA","COMERCIAL ITAPIPOQUENSE DE COMBUSTIVEIS LTDA"," 23.463.268/0005-99","AVENIDA ANASTACIO BRAGA","2000","","FAZENDINHA","62500-000","GASOLINA ADITIVADA","1/3/2022","7.13","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","ITAPIPOCA","COMERCIAL ITAPIPOQUENSE DE COMBUSTIVEIS LTDA"," 23.463.268/0005-99","AVENIDA ANASTACIO BRAGA","2000","","FAZENDINHA","62500-000","DIESEL S10","1/3/2022","6.1","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","ITAPIPOCA","BALEIA DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA"," 04.298.405/0001-09"," CE 168","KM 2","","VIOLETE","62500-001","GASOLINA","1/3/2022","7.1","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","BALEIA DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA"," 04.298.405/0001-09"," CE 168","KM 2","","VIOLETE","62500-001","ETANOL","1/3/2022","5.97","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","BALEIA DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA"," 04.298.405/0001-09"," CE 168","KM 2","","VIOLETE","62500-001","GASOLINA ADITIVADA","1/3/2022","7.11","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","BALEIA DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA"," 04.298.405/0001-09"," CE 168","KM 2","","VIOLETE","62500-001","DIESEL S10","1/3/2022","6.06","","R$ / litro","SP",""
"NE","CE","MARACANAU","BEZERRA & MENDES COMERCIAL DE PETRÓLEO LTDA."," 05.397.086/0001-51","RODOVIA MARANGUAPE - FORTALEZA - KM 06","S/N","","PARQUE LUZARDO VIANA","61910-000","GASOLINA","1/3/2022","6.77","","R$ / litro","IPIRANGA",""
"NE","CE","MARACANAU","BEZERRA & MENDES COMERCIAL DE PETRÓLEO LTDA."," 05.397.086/0001-51","RODOVIA MARANGUAPE - FORTALEZA - KM 06","S/N","","PARQUE LUZARDO VIANA","61910-000","ETANOL","1/3/2022","5.49","","R$ / litro","IPIRANGA",""
"NE","CE","MARACANAU","BEZERRA & MENDES COMERCIAL DE PETRÓLEO LTDA."," 05.397.086/0001-51","RODOVIA MARANGUAPE - FORTALEZA - KM 06","S/N","","PARQUE LUZARDO VIANA","61910-000","GASOLINA ADITIVADA","1/3/2022","6.97","","R$ / litro","IPIRANGA",""
"NE","CE","MARACANAU","BEZERRA & MENDES COMERCIAL DE PETRÓLEO LTDA."," 05.397.086/0001-51","RODOVIA MARANGUAPE - FORTALEZA - KM 06","S/N","","PARQUE LUZARDO VIANA","61910-000","DIESEL S10","1/3/2022","5.57","","R$ / litro","IPIRANGA",""
"NE","CE","MARACANAU","LUIZA GLAURIA R T MENEZES"," 03.602.329/0001-10","ESTRADA FORTALEZA MARANGUAPE","S/N","","KAGADO","61901-410","GASOLINA","1/3/2022","6.47","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","LUIZA GLAURIA R T MENEZES"," 03.602.329/0001-10","ESTRADA FORTALEZA MARANGUAPE","S/N","","KAGADO","61901-410","ETANOL","1/3/2022","5.37","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","LUIZA GLAURIA R T MENEZES"," 03.602.329/0001-10","ESTRADA FORTALEZA MARANGUAPE","S/N","","KAGADO","61901-410","DIESEL S10","1/3/2022","5.37","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","POSTO BOTO LTDA"," 03.020.995/0001-40","AVENIDA PADRE JOSE HOLANDA DO VALE","809","","PIRATININGA","61905-000","GASOLINA","1/3/2022","6.75","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO BOTO LTDA"," 03.020.995/0001-40","AVENIDA PADRE JOSE HOLANDA DO VALE","809","","PIRATININGA","61905-000","ETANOL","1/3/2022","5.29","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO BOTO LTDA"," 03.020.995/0001-40","AVENIDA PADRE JOSE HOLANDA DO VALE","809","","PIRATININGA","61905-000","GASOLINA ADITIVADA","1/3/2022","6.95","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO BOTO LTDA"," 03.020.995/0001-40","AVENIDA PADRE JOSE HOLANDA DO VALE","809","","PIRATININGA","61905-000","DIESEL S10","1/3/2022","5.37","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","SILVEIRA PETROLEO LTDA"," 02.349.905/0001-05","AVENIDA OSORIO DE PAIVA","8003","","SIQUEIRA II","61901-410","GASOLINA","1/3/2022","6.87","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","SILVEIRA PETROLEO LTDA"," 02.349.905/0001-05","AVENIDA OSORIO DE PAIVA","8003","","SIQUEIRA II","61901-410","ETANOL","1/3/2022","5.79","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","SILVEIRA PETROLEO LTDA"," 02.349.905/0001-05","AVENIDA OSORIO DE PAIVA","8003","","SIQUEIRA II","61901-410","GASOLINA ADITIVADA","1/3/2022","6.97","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","SILVEIRA PETROLEO LTDA"," 02.349.905/0001-05","AVENIDA OSORIO DE PAIVA","8003","","SIQUEIRA II","61901-410","DIESEL S10","1/3/2022","5.69","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","CAUIPE REVENDEDORA DE PETROLEO LTDA"," 35.075.597/0005-41","RODOVIA FORTALEZA-MARANGUAPE","7798","","SIQUEIRA","61901-410","GASOLINA","1/3/2022","6.47","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","CAUIPE REVENDEDORA DE PETROLEO LTDA"," 35.075.597/0005-41","RODOVIA FORTALEZA-MARANGUAPE","7798","","SIQUEIRA","61901-410","ETANOL","1/3/2022","5.29","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","CAUIPE REVENDEDORA DE PETROLEO LTDA"," 35.075.597/0005-41","RODOVIA FORTALEZA-MARANGUAPE","7798","","SIQUEIRA","61901-410","GASOLINA ADITIVADA","1/3/2022","6.67","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","CAUIPE REVENDEDORA DE PETROLEO LTDA"," 35.075.597/0005-41","RODOVIA FORTALEZA-MARANGUAPE","7798","","SIQUEIRA","61901-410","DIESEL S10","1/3/2022","5.29","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","LV COMERCIO DE PETROLEO LTDA"," 12.261.249/0001-30","AVENIDA PE JOSE HOLANDA DO VALE","1300","","CAGADO","61912-000","GASOLINA","1/3/2022","6.75","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","LV COMERCIO DE PETROLEO LTDA"," 12.261.249/0001-30","AVENIDA PE JOSE HOLANDA DO VALE","1300","","CAGADO","61912-000","ETANOL","1/3/2022","5.29","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","LV COMERCIO DE PETROLEO LTDA"," 12.261.249/0001-30","AVENIDA PE JOSE HOLANDA DO VALE","1300","","CAGADO","61912-000","GASOLINA ADITIVADA","1/3/2022","6.75","","R$ / litro","BRANCA",""
"NE","CE","MARACANAU","LV COMERCIO DE PETROLEO LTDA"," 12.261.249/0001-30","AVENIDA PE JOSE HOLANDA DO VALE","1300","","CAGADO","61912-000","DIESEL S10","1/3/2022","5.37","","R$ / litro","BRANCA",""
"NE","CE","ITAPIPOCA","DISTRIBUIDORA DE DERIVADOS DE PETROLEO AMONTADA LTDA"," 13.783.012/0001-81","RODOVIA CE 354","S/N","JULIO I","DESERTO","62502-974","GASOLINA","1/3/2022","7.11","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","DISTRIBUIDORA DE DERIVADOS DE PETROLEO AMONTADA LTDA"," 13.783.012/0001-81","RODOVIA CE 354","S/N","JULIO I","DESERTO","62502-974","ETANOL","1/3/2022","5.95","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","DISTRIBUIDORA DE DERIVADOS DE PETROLEO AMONTADA LTDA"," 13.783.012/0001-81","RODOVIA CE 354","S/N","JULIO I","DESERTO","62502-974","GASOLINA ADITIVADA","1/3/2022","7.11","","R$ / litro","SP",""
"NE","CE","ITAPIPOCA","DISTRIBUIDORA DE DERIVADOS DE PETROLEO AMONTADA LTDA"," 13.783.012/0001-81","RODOVIA CE 354","S/N","JULIO I","DESERTO","62502-974","DIESEL S10","1/3/2022","6.05","","R$ / litro","SP",""
"NE","CE","MARACANAU","POSTO DE COMBUSTIVEL JATOBA LTDA - ME"," 21.106.235/0001-32","RUA SIQUEIRA CAMPOS","915","","SIQUEIRA","61900-970","GASOLINA","1/3/2022","6.74","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO DE COMBUSTIVEL JATOBA LTDA - ME"," 21.106.235/0001-32","RUA SIQUEIRA CAMPOS","915","","SIQUEIRA","61900-970","ETANOL","1/3/2022","5.29","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO DE COMBUSTIVEL JATOBA LTDA - ME"," 21.106.235/0001-32","RUA SIQUEIRA CAMPOS","915","","SIQUEIRA","61900-970","GASOLINA ADITIVADA","1/3/2022","6.89","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","POSTO DE COMBUSTIVEL JATOBA LTDA - ME"," 21.106.235/0001-32","RUA SIQUEIRA CAMPOS","915","","SIQUEIRA","61900-970","DIESEL S10","1/3/2022","5.69","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","J & L COMERCIO DE COMBUSTIVEIS LTDA"," 21.152.627/0001-38","RUA HERMES CASTELO BRANCO","41","","JACANAU","61915-430","GASOLINA","1/3/2022","6.47","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","J & L COMERCIO DE COMBUSTIVEIS LTDA"," 21.152.627/0001-38","RUA HERMES CASTELO BRANCO","41","","JACANAU","61915-430","ETANOL","1/3/2022","5.37","","R$ / litro","VIBRA ENERGIA",""
