classificacao;fornecedor;produto;tipo_risco;total_afetado;Ano_apresentação
Automóveis;FORD MOTOR COMPANY DO BRASIL LTDA.;KA, Fiesta e Courier;Campanha de Chamamento dos veículos Ford, modelos KA, Fiesta e Courier, em razão da possibilidade de uma não conformidade de produto gerada durante o processo de cromatização galvânica dos pistões montados em pinças de freio.;3.621;2002
Automóveis;RENAULT DO BRASIL S.A.;Trafic 2.0 8V;Campanha de Chamamento dos veículos Renault Trafic 2.0 8v, em razão da possibilidade da mangueira de alimentação de combustível apresentar vazamento devido a uma eventual degradação da mesma.;1.639;2002
Automóveis;RENAULT DO BRASIL S.A.;Scénics equipados com sistema ABS;Campanha de Chamamento dos veículos Renault Scénics equipados com sistema de freio ABS, em razão da possibilidade da tubulação de freio traseira apresentar uma degradação e ocasionar o risco de perda de assistência de frenagem.;9.298;2002
Automóveis;RENAULT DO BRASIL S.A.;Clio, versões Hatch e Sedan, com motor 1.6 16V;Campanha de Chamamento do veículos Renault Clio 1.6 16V, versões Hatch e Sedan, em razão da possibilidade da mangueira de alimentação de combustível apresentar um desgaste próximo ao suporte do alternador, provocar um vazamento e uma eventual combustão no compartimento do motor.;7.351;2002
Automóveis;RENAULT DO BRASIL S.A.;Scénics 1.6 16V;Campanha de Chamamento dos veículos Renault Scénics 1.6 16V, em razão da possibilidade da mangueira de alimentação de combustível apresentar um desgaste próximo ao suporte do alternador, provocar um vazamento e uma eventual combustão no compartimento do motor.;18.530;2002
Automóveis;RENAULT DO BRASIL S.A.;Laguna e Laguna Nevada 2.0 8V;Campanha de Chamamento dos veículos Renault Laguna e Laguna Nevada 2.0 8V, em razão da possibilidade da mangueira de alimentação de combustível apresentar vazamento devido a uma eventual degradação da mesma.;1.670;2002
Automóveis;RENAULT DO BRASIL S.A.;Mégane, versões Hatch e Sedan, com motor 2.0 8V;Campanha de Chamamento dos veículos Renault Mégane 2.0 8V, versões Hatc e Sedan, em razão da possibilidade da mangueria de alimentação de combustível apresentar vazamento devido a uma eventual degradação da mesma.;9.752;2002
Automóveis;RENAULT DO BRASIL S.A.;Scénics 2.0 8V;Campanha de Chamamento dos veículos Renault Scénic 2.0 8v, em razão da possibilidade da mangueira de alimentação de combustível apresentar vazamento devido a uma eventual degradação da mesma.;15.854;2002
Automóveis;Jaguar e Land Rover Brasil Importação e Comércio de Veículos LTDA.;Discovery Serie II;Campanha de Chamamento dos veículos Jaguar, modelo Land Rover Discovery II, em razão de possível falha no cabo do acelerador, o que pode acarretar o impedimento do mecanismo do acelerador de retornar para sua posição inicial após utilização do pedal. ;370;2002
Automóveis;PEUGEOT CITROËN DO BRASIL AUTOMÓVEIS LTDA.;Peugeot 106;Campanha de Chamamento dos veículos Peugeot 106, em razão da possibilidade de discrepância do controle de função do elemento adicional pré-tensionador pirotécnico dos cintos de segurança.;437;2002
Automóveis;Jaguar e Land Rover Brasil Importação e Comércio de Veículos LTDA.;Land Rover Defender, modelos 1998 a 2002 ;Campanha de Recall para substituição do tubo flexível do freio dianteiro esquerdo dos veículos Land Rover Defender (todas as versões - anos 1998/2002).;3.864;2002
Automóveis;Nissan do Brasil Automóveis Ltda;Frontier Tração 4x4; Campanha de Chamamento dos veículos Nissan, modelo Frontier Tração 4x4, em razão de possível infiltração de água no eixo da roda traseira, o que provoca a diluição da lubrificação do rolamento, além de corrosão, travamento e desprendimento da roda.;1.725;2003
Peças e Componentes Mecânicos;PSS Industria e Comércio Ltda;Mesa Crow;Campanha de Chamamento do produto Mesa Crow da PSS Industria, em razão da possibilidade de ruptura da mesa da bicicleta que separa o garfo da roda dianteira.;não disponível;2003
Automóveis;BMW do Brasil Ltda.;BMW - X5;Campanha de Chamamento dos veículos BMW, modelo X5, em razão da possibilidade de soltura dos suportes de fixação das mangueiras de fluído de freio.;717;2003
Notebooks;American Power Conversion Brasil Ltda; CS 350 e CS 500;Campanha de Chamamento dos produtos American Power, No Breaks e Back-Ups, modelo CS 350 e CS 500, em razão da possibilidade de superaquecimento do gabinete, o que pode causar incêndio.;17.059;2003
Automóveis;RENAULT DO BRASIL S.A.;Scenic;Campanha de Chamamento dos veículos Renault, modelo Scenic, em razão de egradação da mangueira condutora de combustível, o que causa vazamento e combustão.;6557;2003
Automóveis;GENERAL MOTORS DO BRASIL;Blazer  e Pick-Up S10;Campanha de Chamamento dos veículos General Motors, modelos Blazer e Pick-up S-10, em razão de possível falha na entrada de ar no servo-freio, o que exige maior esforço do condutor. ;2.828;2003
Automóveis;FORD MOTOR COMPANY DO BRASIL LTDA.;Ka;Campanha de Chamamento dos veículos Ford, modelo Ford Ka, em razão da possibilidade de ruptura do conector do tubo do hidrovácuo do freio.;33270;2003
Automóveis;GENERAL MOTORS DO BRASIL;Blazer 4.3l;Campanha de Chamamento dos veículos Chevrolet, modelos Blazer 4.3L, em razão da possibilidade do sistema de limitação de peso do cinto de segurança do lado esquerdo entrar em ação, aumentando o comprimento do cadarço e prejudicando a retenção do motorista no cinto.;2884;2003
Automóveis;Mitsubishi Motors Company Automotores do Brasil Ltda;Space Wagon;Campanha de Chamamento dos veículos Mitsubishi, modelo Space Wagon, em razão da possibilidade de fissuras nas mangueiras dos freios dianteiros, o que provoca vazamento do fluído e redução de eficiência na frenagem.;933;2003
Automóveis;GENERAL MOTORS DO BRASIL;Blazer e Pick-Up S10;Campanha de Chamamento dos veículos Chevrolet, modelos Blazer e Pick-Up S10, em razão das buchas de fixação das rodas de alumínio estarem em desacordo com as normas técnicas, o que causa perda do torque de fixação e possível desprendimento da roda.;773;2003
Automóveis;RENAULT DO BRASIL S.A.;Laguna;Campanha de Chamamento dos veículos Renault, modelo Laguna, em razão de degradação da mangueira de alimentação de combustível, o que causa vazamento e combustão.;432;2003
Automóveis;Chrysler Group do Brasil Comércio de Veículos Ltda.;Grand Cherokee;Campanha de Chamamento dos veículos Chrysler, modelo Grand Cherokee, em razão de movimento não intencional dos veículos.;9.306;2003
Medicamentos;Laboratório Enila Indústria e Comércio de Produtos Químicos e Farmacêuticos S/A;Celobar;Campanha de Chamamento dos produtos do Laboratório Enila, Celobar Suspensão, para recolhihmento de todo o Lote 3040068, em razão de riscos à saúde, o que pode causar efeitos colaterais graves do medicamento.;não disponível;2003
Automóveis;RENAULT DO BRASIL S.A.;Clio;Campanha de Chamamento dos veículos Renault, modelo Clio, em razão de falha no processo de fabricação da balança de suspensão dianteira, o que pode causar perda do controle de direção do veículo.;2888;2003
Automóveis;CAOA MONTADORA DE VEÍCULOS LTDA.;H-100;Campanha de Chamamento dos veículos Hyundai, modelo H-100, em razão da possibilidade do tubo de freio traseiro entrar em contato com a haste da válvula dosadora de força de frenagem das rodas traseiras, o que causa redução da capacidade de frenagem.;223;2003
Automóveis;FORD MOTOR COMPANY DO BRASIL LTDA.;Explorer;Campanha de Chamamento dos veículos Ford, modelo Explorer, em razão da possibilidade de quebra do parafuso de fixação da estrutura do encosto do banco do motorista, o que ocasiona reclinação involuntária do encosto do banco.;700;2003
Automóveis;GENERAL MOTORS DO BRASIL;Meriva;Campanha de Chamamento dos veículos General Motors, modelo Meriva, em razão de falha no processo de fabricação do tanque de combustível, o que causa vazamento excessivo de combustível.;2861;2003
Caminhões;MERCEDES-BENZ DO BRASIL LTDA.;Classe M;Campanha de Chamamento dos veículos Mercedes, modelo Classe M, em razão de vazamento do fluído de direção hidráulica, decorrente de uma inadequação da braçadeira de bitola, o que ocasiona perda da dirigibilidade do veículo.;1351;2003
Automóveis;HONDA AUTOMÓVEIS DO BRASIL LTDA.;Fit;Campanha de Chamamento dos veículos Honda, modelo Fit, em razão da possibilidade de fissura no tubo de condução do fluído de freio, o que causa perda parcial da frenagem.;2514;2003
Automóveis;Chrysler Group do Brasil Comércio de Veículos Ltda.;Sprinter ;Campanha de Chamamento dos veículos Chrysler, modelo Sprinter, em razão de  ruptura na haste de acionamento dos amortecedores.;42197;2003
Automóveis;Volvo Automóveis do Brasil Ltda;XC 90;Campanha de Chamamento dos veículos Volvo, modelo XC90, em razão de falta de aperto adequado dos cintos de segurança das fileiras 2 e 3 dos acentos, e falha no sensor de velocidade das rodas dianteiras.;não disponível;2003
Automóveis;GENERAL MOTORS DO BRASIL;Celta;Campanha de Chamamento dos veículos Chevrolet, modelo Celta, em razão de inadequação na montagem dos componentes internos do motor de partida, o que pode causar um superaquecimento e eventual queima dos cabos de alimentação do motor de partida.;31612;2003
Automóveis;GENERAL MOTORS DO BRASIL;Celta e Corsa Classic;Campanha de Chamamento dos veículos Chevrolet, modelos Celta e Corsa Classic, em razão da possibilidade de desprendimento da haste do pedal acelerador.;7455;2003
Automóveis;Volvo Automóveis do Brasil Ltda;S40 e V40;Campanha de Chamamento dos veículos Volvo, modelos S40 e V40, em razão de  inadequação da fixação da tampa da válvula de inspeção da pressão de combustível.;254;2003
Automóveis;Mitsubishi Motors Company Automotores do Brasil Ltda;Galant Super Saloon e Galant VR;Campanha de Chamamento Mitsubish, modelos Galant Super Saloon e Galant VR, em razão de dano na vedação inferior do pivô do braço lateral inferior da suspensão dianteira.;1655;2003
