Id,Label,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,stat_inf_class,componentnumber,X,Y,Size,Color
002694124837df32845e783edba3435a,,0,6,6,1,1,1,0,1,15,0,0,-442.365082,-233.999725,10,"#000000"
12c2b1a5b4bde26578e33be1164d77c0,,1,5,6,1,1,1,0,1,15,0,0,-244.696915,-280.530121,10,"#000000"
3d4e77cea17b1812993b55543e81400e,,2,4,6,1,1,1,0,1,15,0,0,404.849731,136.694763,10,"#000000"
455c52ceb8d6f492188beb4a465cc1f7,,3,3,6,1,1,1,0,1,15,0,0,310.567688,-401.800629,10,"#000000"
78158d517e5b9f1eb29af254597c6fc1,,4,2,6,1,1,1,0,1,15,0,0,95.376701,249.629883,10,"#000000"
9f518dea83f0e69e2779522f34edb95b,,5,1,6,1,1,1,0,1,15,0,0,409.70697,-330.769043,10,"#000000"
f14ae128ee4be283929ea7a18c3c19e6,,6,0,6,1,1,1,0,1,15,0,0,59.427544,-415.403687,10,"#000000"
003141a24a9b11f229a74931663d98ec,,0,68,68,6,0.379712,0.434891,0,1,2278,276,1,-207.120651,196.294556,10,"#000000"
0099da7c8cfd546432dfabc89817d6a6,,1,67,68,6,0.379712,0.434891,0,1,2278,16,1,253.737839,31.959908,10,"#000000"
04d0571accc3a853ebbba0bb27ae200f,,2,115,117,6,0.394131,0.461229,317.905282,0.783672,5318,2,1,-33.090828,-73.164421,10,"#000000"
07e492da1568584bb3f030fb7fc1f9bc,,3,65,68,6,0.379712,0.434891,0,1,2278,8,1,164.301376,-132.522461,10,"#000000"
08868550eed1cfc8a077d4b5a4471d54,,4,64,68,6,0.379712,0.434891,0,1,2278,6,1,277.094788,146.90918,10,"#000000"
09572dc67baa60962354b110bf823350,,5,112,117,6,0.394131,0.461229,317.905282,0.783672,5318,20,1,287.651794,55.124397,10,"#000000"
0e05e4dc53a667ae017359d3d5275825,,6,62,68,6,0.379712,0.434891,0,1,2278,17,1,129.697433,302.260925,10,"#000000"
1402fdf6cc5bf068959548a69598dd05,,7,61,68,6,0.379712,0.434891,0,1,2278,18,1,-502.295837,-432.583313,10,"#000000"
1a7196bc39cb4bd1e964af1a8a728b7c,,8,60,68,6,0.379712,0.434891,0,1,2278,14,1,-160.980515,149.002502,10,"#000000"
1b1528014d012dd308330d186af46f42,,9,108,117,6,0.394131,0.461229,317.905282,0.783672,5318,1,1,-215.72905,218.376831,10,"#000000"
1c4d46b5b67c2105e14fb185d6536db2,,10,107,117,6,0.394131,0.461229,317.905282,0.783672,5318,9,1,-332.294434,-156.418823,10,"#000000"
207f1fa3b8870d96b29cae49209f3598,,11,106,117,6,0.394131,0.461229,317.905282,0.783672,5318,7,1,209.71904,-158.796356,10,"#000000"
24f2a75b5aea367692b6040fe3141c3e,,12,56,68,6,0.379712,0.434891,0,1,2278,14,1,-495.122925,-140.71875,10,"#000000"
292961b6292c1e472043cce61268dd57,,13,104,117,6,0.394131,0.461229,317.905282,0.783672,5318,16,1,-428.165588,-489.127167,10,"#000000"
